id,categories,title,titleCN,image_filename,example_code_path,series_types_detected,data_source_type,dimensions_count_detected,dataset_source_rows_detected,dataset_or_row_field_count_detected,max_inline_array_width_detected,max_object_fields_detected,data_requirement_summary,analysis_confidence,primary_chart_type,standard_kind,standard_imd_priority,standard_min_fields,standard_data_shape,standard_required_roles_json,standard_optional_roles_json,standard_auto_binding_strategy,imd_template_fit
pie-simple,pie,Referer of a Website,某站点用户访问来源,pie-simple.png,public/examples/ts/pie-simple.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
radar,radar,Basic Radar Chart,基础雷达图,radar.png,public/examples/ts/radar.ts,radar,series.data,,,2,,2,雷达多指标数组；字段数通常等于 indicator 数,medium（基于官方示例源码静态解析 + 分类规则）,radar,series,advanced,3,multi_metric_vectors,"[{""id"": ""dimension_values"", ""label"": ""多个指标值"", ""required"": true, ""types"": [""number[]""], ""description"": ""每个对象在多个指标上的数值""}]","[{""id"": ""name"", ""label"": ""对象名称"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""每条雷达线名称""}]",选择 3 个以上数值字段作为指标；分类字段作为对象名。,advanced_requires_validation
sankey-simple,sankey,Basic Sankey,基础桑基图,sankey-simple.png,public/examples/ts/sankey-simple.ts,sankey,dataset.source+series.data+nodes+links,,,3,,3,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）,sankey,series,core,2,flows,"[{""id"": ""source"", ""label"": ""来源"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""流向来源""}, {""id"": ""target"", ""label"": ""目标"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""流向目标""}]","[{""id"": ""value"", ""label"": ""流量/权重"", ""required"": false, ""types"": [""number""], ""description"": ""流量大小；没有则按 count 聚合""}]",source + target 必填；value 没有时按记录数计数。,auto_recommendable
scatter-simple,scatter,Basic Scatter Chart,基础散点图,scatter-simple.png,public/examples/ts/scatter-simple.ts,scatter,series.data,,,2,2,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）,scatter,series,core,2,points,"[{""id"": ""x"", ""label"": ""X数值"", ""required"": true, ""types"": [""number""], ""description"": ""点的 X 坐标""}, {""id"": ""y"", ""label"": ""Y数值"", ""required"": true, ""types"": [""number""], ""description"": ""点的 Y 坐标""}]","[{""id"": ""size"", ""label"": ""气泡大小"", ""required"": false, ""types"": [""number""], ""description"": ""控制点大小""}, {""id"": ""category"", ""label"": ""颜色分类"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""按类别着色""}]",至少需要两个数值字段；第三个数值字段可做 size。,auto_recommendable
area-basic,line,Basic area chart,基础面积图,area-basic.png,public/examples/ts/area-basic.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,line,series,core,2,table_rows,"[{""id"": ""x"", ""label"": ""X轴/时间或分类"", ""required"": true, ""types"": [""date"", ""number"", ""text"", ""category""], ""description"": ""趋势横轴，优先日期或有序字段""}, {""id"": ""y"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""趋势数值""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多条折线""}]",优先日期字段做 x；没有日期时用分类字段；数值字段做 y。,auto_recommendable
bar-background,bar,Bar with Background,带背景色的柱状图,bar-background.png,public/examples/ts/bar-background.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-data-color,bar,Set Style of Single Bar.,自定义单个柱子颜色,bar-data-color.png,public/examples/ts/bar-data-color.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-waterfall,bar,Waterfall Chart,瀑布图（柱状图模拟）,bar-waterfall.png,public/examples/ts/bar-waterfall.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
calendar-heatmap,calendar;heatmap,Calendar Heatmap,日历热力图,calendar-heatmap.png,public/examples/ts/calendar-heatmap.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）,heatmap,series,core,3,matrix_triples,"[{""id"": ""x"", ""label"": ""X维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""横向维度""}, {""id"": ""y"", ""label"": ""Y维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""纵向维度""}, {""id"": ""value"", ""label"": ""热度值"", ""required"": true, ""types"": [""number""], ""description"": ""颜色强度""}]","[{""id"": ""series"", ""label"": ""分面"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""多个热力图分组""}]",两个分类/日期字段 + 一个数值字段。,auto_recommendable
calendar-vertical,calendar;heatmap,Calendar Heatmap Vertical,纵向日历图,calendar-vertical.png,public/examples/ts/calendar-vertical.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）,heatmap,series,core,3,matrix_triples,"[{""id"": ""x"", ""label"": ""X维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""横向维度""}, {""id"": ""y"", ""label"": ""Y维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""纵向维度""}, {""id"": ""value"", ""label"": ""热度值"", ""required"": true, ""types"": [""number""], ""description"": ""颜色强度""}]","[{""id"": ""series"", ""label"": ""分面"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""多个热力图分组""}]",两个分类/日期字段 + 一个数值字段。,auto_recommendable
chord-minAngle,chord,Chord minAngle,和弦图 minAngle,chord-minAngle.png,public/examples/ts/chord-minAngle.ts,chord,dataset.source+series.data+nodes+links,,,3,,3,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,chord,series,advanced,2,relationship_matrix_or_edges,"[{""id"": ""source"", ""label"": ""来源"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""关系来源""}, {""id"": ""target"", ""label"": ""目标"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""关系目标""}]","[{""id"": ""value"", ""label"": ""权重"", ""required"": false, ""types"": [""number""], ""description"": ""关系强度""}]",source/target/value 或矩阵数据。,advanced_requires_validation
custom-ohlc,candlestick,OHLC Chart,OHLC 图（使用自定义系列）,custom-ohlc.png,public/examples/ts/custom-ohlc.ts,custom;line,series.data+external file/api,5,,5,2,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定",medium（基于官方示例源码静态解析 + 分类规则）,candlestick,series,advanced,5,ohlc,"[{""id"": ""date"", ""label"": ""日期/周期"", ""required"": true, ""types"": [""date"", ""text"", ""category""], ""description"": ""交易日期或周期""}, {""id"": ""open"", ""label"": ""开盘"", ""required"": true, ""types"": [""number""], ""description"": ""开盘价""}, {""id"": ""close"", ""label"": ""收盘"", ""required"": true, ""types"": [""number""], ""description"": ""收盘价""}, {""id"": ""low"", ""label"": ""最低"", ""required"": true, ""types"": [""number""], ""description"": ""最低价""}, {""id"": ""high"", ""label"": ""最高"", ""required"": true, ""types"": [""number""], ""description"": ""最高价""}]","[{""id"": ""volume"", ""label"": ""成交量"", ""required"": false, ""types"": [""number""], ""description"": ""成交量，可配合柱状图""}]",按字段名识别 open/close/low/high/date。,advanced_requires_validation
custom-profit,custom,Profit,利润分布直方图,custom-profit.png,public/examples/ts/custom-profit.ts,custom,series.data,3,,3,4,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,custom,series,experimental,varies,custom_render_item,"[{""id"": ""dimensions"", ""label"": ""自定义维度"", ""required"": true, ""types"": [""mixed[]""], ""description"": ""由 renderItem/encode 决定""}]",[],不做自动推荐，除非模板单独声明 role schema。,experimental_manual_schema
dataset-encode0,dataset;bar,Simple Encode,指定数据到坐标轴的映射,dataset-encode0.png,public/examples/ts/dataset-encode0.ts,bar,dataset+dataset.source,,10,3,3,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
gauge,gauge,Gauge Basic chart,基础仪表盘,gauge.png,public/examples/ts/gauge.ts,gauge,series.data,,,2,,2,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,gauge,series,core,1,single_kpi,"[{""id"": ""value"", ""label"": ""指标值"", ""required"": true, ""types"": [""number""], ""description"": ""单个 KPI 数值""}]","[{""id"": ""name"", ""label"": ""指标名称"", ""required"": false, ""types"": [""text""], ""description"": ""显示名称""}, {""id"": ""min"", ""label"": ""最小值"", ""required"": false, ""types"": [""number""], ""description"": ""仪表下限""}, {""id"": ""max"", ""label"": ""最大值"", ""required"": false, ""types"": [""number""], ""description"": ""仪表上限""}]",选择一个数值字段，默认求和/均值/最后一条。,auto_recommendable
gauge-simple,gauge,Simple Gauge,带标签数字动画的基础仪表盘,gauge-simple.png,public/examples/ts/gauge-simple.ts,gauge,series.data,,,2,,2,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,gauge,series,core,1,single_kpi,"[{""id"": ""value"", ""label"": ""指标值"", ""required"": true, ""types"": [""number""], ""description"": ""单个 KPI 数值""}]","[{""id"": ""name"", ""label"": ""指标名称"", ""required"": false, ""types"": [""text""], ""description"": ""显示名称""}, {""id"": ""min"", ""label"": ""最小值"", ""required"": false, ""types"": [""number""], ""description"": ""仪表下限""}, {""id"": ""max"", ""label"": ""最大值"", ""required"": false, ""types"": [""number""], ""description"": ""仪表上限""}]",选择一个数值字段，默认求和/均值/最后一条。,auto_recommendable
graph-force2,graph,Force Layout,力引导布局,graph-force2.png,public/examples/ts/graph-force2.ts,graph,dataset.source+series.data+nodes+links,,,2,2,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）,graph,series,advanced,2,nodes_links,"[{""id"": ""source"", ""label"": ""来源节点"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""边的来源""}, {""id"": ""target"", ""label"": ""目标节点"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""边的目标""}]","[{""id"": ""value"", ""label"": ""权重"", ""required"": false, ""types"": [""number""], ""description"": ""边权重""}, {""id"": ""category"", ""label"": ""节点分类"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""节点分组""}]",source/target 生成 links，并从两列去重生成 nodes。,advanced_requires_validation
line-stack,line,Stacked Line Chart,堆叠折线图,line-stack.png,public/examples/ts/line-stack.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,line,series,core,2,table_rows,"[{""id"": ""x"", ""label"": ""X轴/时间或分类"", ""required"": true, ""types"": [""date"", ""number"", ""text"", ""category""], ""description"": ""趋势横轴，优先日期或有序字段""}, {""id"": ""y"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""趋势数值""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多条折线""}]",优先日期字段做 x；没有日期时用分类字段；数值字段做 y。,auto_recommendable
matrix-simple,matrix,Simple Matrix,简单的矩阵图,matrix-simple.png,public/examples/ts/matrix-simple.ts,heatmap,series.data,,,3,3,2,"三元组: x, y, value（3 字段）",medium（基于官方示例源码静态解析 + 分类规则）,heatmap,series,core,3,matrix_triples,"[{""id"": ""x"", ""label"": ""X维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""横向维度""}, {""id"": ""y"", ""label"": ""Y维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""纵向维度""}, {""id"": ""value"", ""label"": ""热度值"", ""required"": true, ""types"": [""number""], ""description"": ""颜色强度""}]","[{""id"": ""series"", ""label"": ""分面"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""多个热力图分组""}]",两个分类/日期字段 + 一个数值字段。,auto_recommendable
parallel-simple,parallel,Basic Parallel,基础平行坐标,parallel-simple.png,public/examples/ts/parallel-simple.ts,parallel,series.data,,,4,4,,平行坐标多维数组；字段数等于 parallelAxis 维度数,medium（基于官方示例源码静态解析 + 分类规则）,parallel,series,advanced,3,multi_dimension_rows,"[{""id"": ""dimensions"", ""label"": ""多个维度"", ""required"": true, ""types"": [""number[]"", ""mixed[]""], ""description"": ""每行多个维度值""}]","[{""id"": ""category"", ""label"": ""分类"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""线条分组""}]",选择 3 个以上数值/有序字段作为维度。,advanced_requires_validation
pie-borderRadius,pie,Doughnut Chart with Rounded Corner,圆角环形图,pie-borderRadius.png,public/examples/ts/pie-borderRadius.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
pie-doughnut,pie,Doughnut Chart,环形图,pie-doughnut.png,public/examples/ts/pie-doughnut.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
pie-half-donut,pie,Half Doughnut Chart,半环形图,pie-half-donut.png,public/examples/ts/pie-half-donut.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
pie-padAngle,pie,Pie with padAngle,饼图扇区间隙,pie-padAngle.png,public/examples/ts/pie-padAngle.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
