id,categories,title,titleCN,image_filename,example_code_path,series_types_detected,data_source_type,dimensions_count_detected,dataset_source_rows_detected,dataset_or_row_field_count_detected,max_inline_array_width_detected,max_object_fields_detected,data_requirement_summary,analysis_confidence
pie-simple,pie,Referer of a Website,某站点用户访问来源,pie-simple.png,public/examples/ts/pie-simple.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
radar,radar,Basic Radar Chart,基础雷达图,radar.png,public/examples/ts/radar.ts,radar,series.data,,,2,,2,雷达多指标数组；字段数通常等于 indicator 数,medium（基于官方示例源码静态解析 + 分类规则）
sankey-simple,sankey,Basic Sankey,基础桑基图,sankey-simple.png,public/examples/ts/sankey-simple.ts,sankey,dataset.source+series.data+nodes+links,,,3,,3,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）
scatter-simple,scatter,Basic Scatter Chart,基础散点图,scatter-simple.png,public/examples/ts/scatter-simple.ts,scatter,series.data,,,2,2,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
area-basic,line,Basic area chart,基础面积图,area-basic.png,public/examples/ts/area-basic.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-background,bar,Bar with Background,带背景色的柱状图,bar-background.png,public/examples/ts/bar-background.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-data-color,bar,Set Style of Single Bar.,自定义单个柱子颜色,bar-data-color.png,public/examples/ts/bar-data-color.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-waterfall,bar,Waterfall Chart,瀑布图（柱状图模拟）,bar-waterfall.png,public/examples/ts/bar-waterfall.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
calendar-heatmap,calendar;heatmap,Calendar Heatmap,日历热力图,calendar-heatmap.png,public/examples/ts/calendar-heatmap.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）
calendar-vertical,calendar;heatmap,Calendar Heatmap Vertical,纵向日历图,calendar-vertical.png,public/examples/ts/calendar-vertical.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）
chord-minAngle,chord,Chord minAngle,和弦图 minAngle,chord-minAngle.png,public/examples/ts/chord-minAngle.ts,chord,dataset.source+series.data+nodes+links,,,3,,3,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
custom-ohlc,candlestick,OHLC Chart,OHLC 图（使用自定义系列）,custom-ohlc.png,public/examples/ts/custom-ohlc.ts,custom;line,series.data+external file/api,5,,5,2,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定",medium（基于官方示例源码静态解析 + 分类规则）
custom-profit,custom,Profit,利润分布直方图,custom-profit.png,public/examples/ts/custom-profit.ts,custom,series.data,3,,3,4,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
dataset-encode0,dataset;bar,Simple Encode,指定数据到坐标轴的映射,dataset-encode0.png,public/examples/ts/dataset-encode0.ts,bar,dataset+dataset.source,,10,3,3,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
gauge,gauge,Gauge Basic chart,基础仪表盘,gauge.png,public/examples/ts/gauge.ts,gauge,series.data,,,2,,2,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
gauge-simple,gauge,Simple Gauge,带标签数字动画的基础仪表盘,gauge-simple.png,public/examples/ts/gauge-simple.ts,gauge,series.data,,,2,,2,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
graph-force2,graph,Force Layout,力引导布局,graph-force2.png,public/examples/ts/graph-force2.ts,graph,dataset.source+series.data+nodes+links,,,2,2,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
line-stack,line,Stacked Line Chart,堆叠折线图,line-stack.png,public/examples/ts/line-stack.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
matrix-simple,matrix,Simple Matrix,简单的矩阵图,matrix-simple.png,public/examples/ts/matrix-simple.ts,heatmap,series.data,,,3,3,2,"三元组: x, y, value（3 字段）",medium（基于官方示例源码静态解析 + 分类规则）
parallel-simple,parallel,Basic Parallel,基础平行坐标,parallel-simple.png,public/examples/ts/parallel-simple.ts,parallel,series.data,,,4,4,,平行坐标多维数组；字段数等于 parallelAxis 维度数,medium（基于官方示例源码静态解析 + 分类规则）
pie-borderRadius,pie,Doughnut Chart with Rounded Corner,圆角环形图,pie-borderRadius.png,public/examples/ts/pie-borderRadius.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
pie-doughnut,pie,Doughnut Chart,环形图,pie-doughnut.png,public/examples/ts/pie-doughnut.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
pie-half-donut,pie,Half Doughnut Chart,半环形图,pie-half-donut.png,public/examples/ts/pie-half-donut.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
pie-padAngle,pie,Pie with padAngle,饼图扇区间隙,pie-padAngle.png,public/examples/ts/pie-padAngle.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
radar-aqi,radar,AQI - Radar Chart,AQI - 雷达图,radar-aqi.png,public/examples/ts/radar-aqi.ts,radar,series.data,,,7,7,,雷达多指标数组；字段数通常等于 indicator 数,medium（基于官方示例源码静态解析 + 分类规则）
sankey-vertical,sankey,Sankey Orient Vertical,垂直方向的桑基图,sankey-vertical.png,public/examples/ts/sankey-vertical.ts,sankey,dataset.source+series.data+nodes+links,,,3,,3,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）
scatter-anscombe-quartet,scatter,Anscomb's quartet,安斯库姆四重奏,scatter-anscombe-quartet.png,public/examples/ts/scatter-anscombe-quartet.ts,scatter,series.data,,,2,2,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-clustering,scatter,Clustering Process,数据聚合,scatter-clustering.png,public/examples/ts/scatter-clustering.ts,scatter,dataset+dataset.source,,,2,2,3,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-clustering-process,scatter,Clustering Process,聚合过程可视化,scatter-clustering-process.png,public/examples/ts/scatter-clustering-process.ts,,unknown/static option,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
scatter-exponential-regression,scatter,Exponential Regression,指数回归（使用统计插件）,scatter-exponential-regression.png,public/examples/ts/scatter-exponential-regression.ts,line;scatter,dataset+dataset.source,,18,2,2,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
sunburst-simple,sunburst,Basic Sunburst,基础旭日图,sunburst-simple.png,public/examples/ts/sunburst-simple.ts,sunburst,series.data,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
area-stack,line,Stacked Area Chart,堆叠面积图,area-stack.png,public/examples/ts/area-stack.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
area-stack-gradient,line,Gradient Stacked Area Chart,渐变堆叠面积图,area-stack-gradient.png,public/examples/ts/area-stack-gradient.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-negative2,bar,Bar Chart with Negative Value,交错正负轴标签,bar-negative2.png,public/examples/ts/bar-negative2.ts,bar,series.data,,,2,,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-polar-label-radial,bar,Radial Polar Bar Label Position,极坐标柱状图标签,bar-polar-label-radial.png,public/examples/ts/bar-polar-label-radial.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-polar-label-tangential,bar,Tangential Polar Bar Label Position,极坐标柱状图标签,bar-polar-label-tangential.png,public/examples/ts/bar-polar-label-tangential.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-y-category,bar,World Population,世界人口总量 - 条形图,bar-y-category.png,public/examples/ts/bar-y-category.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bump-chart,line,Bump Chart (Ranking),凹凸图,bump-chart.png,public/examples/ts/bump-chart.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
calendar-horizontal,calendar,Calendar Heatmap Horizontal,横向日历图,calendar-horizontal.png,public/examples/ts/calendar-horizontal.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）
candlestick-sh,candlestick,ShangHai Index,上证指数,candlestick-sh.png,public/examples/ts/candlestick-sh.ts,candlestick;line,series.data,,,5,5,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
custom-error-scatter,custom;dataZoom,Error Scatter on Catesian,使用自定系列给散点图添加误差范围,custom-error-scatter.png,public/examples/ts/custom-error-scatter.ts,custom;line;scatter,series.data,,,7,7,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定",medium（基于官方示例源码静态解析 + 分类规则）
gauge-speed,gauge,Speed Gauge,速度仪表盘,gauge-speed.png,public/examples/ts/gauge-speed.ts,gauge,series.data,,,1,,1,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
graph-grid,graph,Graph on Cartesian,笛卡尔坐标系上的 Graph,graph-grid.png,public/examples/ts/graph-grid.ts,graph,dataset.source+series.data+nodes+links,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
graph-simple,graph,Simple Graph,Graph 简单示例,graph-simple.png,public/examples/ts/graph-simple.ts,graph,dataset.source+series.data+nodes+links,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
heatmap-large,heatmap,Heatmap - 20K data,热力图 - 2w 数据,heatmap-large.png,public/examples/ts/heatmap-large.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）",medium（基于官方示例源码静态解析 + 分类规则）
heatmap-large-piecewise,heatmap,Heatmap - Discrete Mapping of Color,热力图 - 颜色的离散映射,heatmap-large-piecewise.png,public/examples/ts/heatmap-large-piecewise.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）",medium（基于官方示例源码静态解析 + 分类规则）
line-marker,line,Temperature Change in the Coming Week,未来一周气温变化,line-marker.png,public/examples/ts/line-marker.ts,line,series.data,,,4,,4,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
matrix-correlation-heatmap,matrix,Correlation Matrix (Heatmap),相关矩阵（热力图）,matrix-correlation-heatmap.png,public/examples/ts/matrix-correlation-heatmap.ts,heatmap,series.data,,,1,,1,"三元组: x, y, value（3 字段）",medium（基于官方示例源码静态解析 + 分类规则）
matrix-correlation-scatter,matrix,Correlation Matrix (Scatter),相关矩阵（散点图）,matrix-correlation-scatter.png,public/examples/ts/matrix-correlation-scatter.ts,scatter,series.data,,,1,,1,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
matrix-covariance,matrix,Covariance Matrix,协方差矩阵,matrix-covariance.png,public/examples/ts/matrix-covariance.ts,heatmap,series.data,,,1,,1,"三元组: x, y, value（3 字段）",medium（基于官方示例源码静态解析 + 分类规则）
matrix-graph,matrix,Graph Chart in Matrix,矩阵布局下的关系图,matrix-graph.png,public/examples/ts/matrix-graph.ts,graph,dataset.source+series.data+nodes+links,,,4,4,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
matrix-pie,matrix,Pie Charts in Matrix,矩阵布局下的饼图,matrix-pie.png,public/examples/ts/matrix-pie.ts,pie,unknown/static option,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
parallel-aqi,parallel,Parallel Aqi,AQI 分布（平行坐标）,parallel-aqi.png,public/examples/ts/parallel-aqi.ts,parallel,series.data,,,8,8,,平行坐标多维数组；字段数等于 parallelAxis 维度数,medium（基于官方示例源码静态解析 + 分类规则）
pie-custom,pie,Customized Pie,饼图自定义样式,pie-custom.png,public/examples/ts/pie-custom.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
pie-pattern,pie,Texture on Pie Chart,饼图纹理,pie-pattern.png,public/examples/ts/pie-pattern.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
pie-roseType,pie,Nightingale Chart,南丁格尔玫瑰图,pie-roseType.png,public/examples/ts/pie-roseType.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
pie-roseType-simple,pie,Nightingale Chart,基础南丁格尔玫瑰图,pie-roseType-simple.png,public/examples/ts/pie-roseType-simple.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
polar-endAngle,bar,Polar endAngle,极坐标系 endAngle,polar-endAngle.png,public/examples/ts/polar-endAngle.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
radar-custom,radar,Customized Radar Chart,自定义雷达图,radar-custom.png,public/examples/ts/radar-custom.ts,radar,series.data,,,2,,2,雷达多指标数组；字段数通常等于 indicator 数,medium（基于官方示例源码静态解析 + 分类规则）
sankey-itemstyle,sankey,Specify ItemStyle for Each Node in Sankey,桑基图节点自定义样式,sankey-itemstyle.png,public/examples/ts/sankey-itemstyle.ts,sankey,dataset.source+series.data+nodes+links,,,3,,3,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）
sankey-levels,sankey,Sankey with Levels Setting,桑基图层级自定义样式,sankey-levels.png,public/examples/ts/sankey-levels.ts,sankey,series.data+external file/api+nodes+links,,,"3（source,target,value）+ nodes",,,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）
scatter-effect,scatter,Effect Scatter Chart,涟漪特效散点图,scatter-effect.png,public/examples/ts/scatter-effect.ts,effectScatter;scatter,series.data,,,2,2,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-linear-regression,scatter,Linear Regression,线性回归（使用统计插件）,scatter-linear-regression.png,public/examples/ts/scatter-linear-regression.ts,line;scatter,dataset+dataset.source,,,2,2,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
scatter-polynomial-regression,scatter,Polynomial Regression,多项式回归（使用统计插件）,scatter-polynomial-regression.png,public/examples/ts/scatter-polynomial-regression.ts,line;scatter,dataset+dataset.source,,,2,2,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
sunburst-borderRadius,sunburst,Sunburst with Rounded Corner,圆角旭日图,sunburst-borderRadius.png,public/examples/ts/sunburst-borderRadius.ts,sunburst,series.data,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
sunburst-label-rotate,sunburst,Sunburst Label Rotate,旭日图标签旋转,sunburst-label-rotate.png,public/examples/ts/sunburst-label-rotate.ts,sunburst,series.data,,,1,,1,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
area-pieces,line;visualMap,Area Pieces,折线图区域高亮,area-pieces.png,public/examples/ts/area-pieces.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-breaks-simple,bar,Bar Chart with Axis Breaks,断轴上的柱状图,bar-breaks-simple.png,public/examples/ts/bar-breaks-simple.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-gradient,bar,Clickable Column Chart with Gradient,特性示例：渐变色 阴影 点击缩放,bar-gradient.png,public/examples/ts/bar-gradient.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-label-rotation,bar,Bar Label Rotation,柱状图标签旋转,bar-label-rotation.png,public/examples/ts/bar-label-rotation.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-stack,bar,Stacked Column Chart,堆叠柱状图,bar-stack.png,public/examples/ts/bar-stack.ts,bar,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-stack-borderRadius,bar,Stacked Bar with borderRadius,带圆角的堆积柱状图,bar-stack-borderRadius.png,public/examples/ts/bar-stack-borderRadius.ts,bar,series.data,,,2,,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-stack-normalization,bar,Stacked Bar Normalization,堆叠柱状图的归一化,bar-stack-normalization.png,public/examples/ts/bar-stack-normalization.ts,bar,series.data,,,7,7,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-stack-normalization-and-variation,bar,Stacked Bar Normalization and Variation,堆叠柱状图的归一化和变化,bar-stack-normalization-and-variation.png,public/examples/ts/bar-stack-normalization-and-variation.ts,bar,series.data,,,7,7,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-waterfall2,bar,Waterfall Chart,阶梯瀑布图（柱状图模拟）,bar-waterfall2.png,public/examples/ts/bar-waterfall2.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-y-category-stack,bar,Stacked Horizontal Bar,堆叠条形图,bar-y-category-stack.png,public/examples/ts/bar-y-category-stack.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
candlestick-large,candlestick,Large Scale Candlestick,大数据量K线图,candlestick-large.png,public/examples/ts/candlestick-large.ts,bar;candlestick;line,dataset+dataset.source+series.data,,,2,,2,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
chord-lineStyle-color,chord,Chord lineStyle.color,和弦图边的颜色,chord-lineStyle-color.png,public/examples/ts/chord-lineStyle-color.ts,chord,dataset.source+series.data+nodes+links,,,3,,3,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
custom-bar-trend,custom,Custom Bar Trend,使用自定义系列添加柱状图趋势,custom-bar-trend.png,public/examples/ts/custom-bar-trend.ts,bar;custom,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
custom-cartesian-polygon,custom,Custom Cartesian Polygon,自定义多边形图,custom-cartesian-polygon.png,public/examples/ts/custom-cartesian-polygon.ts,custom,series.data,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
custom-error-bar,custom,Error Bar on Catesian,使用自定系列给柱状图添加误差范围,custom-error-bar.png,public/examples/ts/custom-error-bar.ts,bar;custom;line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
custom-profile,custom,Profile,性能分析图,custom-profile.png,public/examples/ts/custom-profile.ts,,unknown/static option,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
cycle-plot,custom,Cycle Plot,周期图,cycle-plot.png,public/examples/ts/cycle-plot.ts,,unknown/static option,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
data-transform-filter,line,Data Transform Filter,数据过滤,data-transform-filter.png,public/examples/ts/data-transform-filter.ts,line,dataset+dataset.source+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
data-transform-multiple-pie,dataset;pie;transform,Partition Data to Pies,分割数据到数个饼图,data-transform-multiple-pie.png,public/examples/ts/data-transform-multiple-pie.ts,pie,dataset+dataset.source,,21,4,4,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
dataset-default,dataset;pie,Default arrangement,默认 encode 设置,dataset-default.png,public/examples/ts/dataset-default.ts,pie,dataset+dataset.source,,5,7,7,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
dataset-encode1,dataset,Encode and Matrix,指定数据到坐标轴的映射,dataset-encode1.png,public/examples/ts/dataset-encode1.ts,scatter,dataset+dataset.source+external file/api,5,,5,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
gauge-progress,gauge,Progress Gauge,进度仪表盘,gauge-progress.png,public/examples/ts/gauge-progress.ts,gauge,series.data,,,1,,1,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
gauge-stage,gauge,Stage Speed Gauge,阶段速度仪表盘,gauge-stage.png,public/examples/ts/gauge-stage.ts,gauge,series.data,,,2,2,1,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
geo-graph,map;graph,Geo Graph,地理坐标系上的关系图,geo-graph.png,public/examples/ts/geo-graph.ts,graph,dataset.source+series.data+external file/api+map/geoJSON,,,2,,2,"nodes + links/categories；节点常含 name/value/symbolSize；地图区域名 + 数值: name, value；另需 map/geoJSON",medium（基于官方示例源码静态解析 + 分类规则）
graph-force,graph,Force Layout,力引导布局,graph-force.png,public/examples/ts/graph-force.ts,graph,series.data+external file/api+nodes+links,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
graph-label-overlap,graph,Hide Overlapped Label,关系图自动隐藏重叠标签,graph-label-overlap.png,public/examples/ts/graph-label-overlap.ts,graph,series.data+external file/api+nodes+links,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
line-gradient,line,Line Gradient,折线图的渐变,line-gradient.png,public/examples/ts/line-gradient.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-sections,line,Distribution of Electricity,一天用电量分布,line-sections.png,public/examples/ts/line-sections.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
